,Log,KNN 14,SVM rbf,SVM poly,NB,RF 10,RF 9,RF 8,RF 7,RF 6,XGB,Grid Log,Grid KNN,Grid SVM,Grid RF,Grid XGB,Voting soft - part of grid,Voting hard - part of grid,Ensemble RF - part of grid,Ensemble Log - part of grid
Log,1.0,0.8683077035581205,0.8925163467304391,0.8409129488878595,0.6632327283414342,0.8359856638827278,0.856255774130134,0.8664201338412026,0.9231070437828333,0.9335244853701845,0.8407246651875756,1.0,0.8732759401763747,0.8978588603663283,0.9335244853701845,0.8923158750139809,0.9592297165151941,0.9438519582392492,0.8872159212195995,0.9179510591657114
KNN 14,0.8683077035581205,1.0,0.9314328897895957,0.8869620786549037,0.6324495571998596,0.8563281408179553,0.8762193193531008,0.8856713420410902,0.8821487679458478,0.8904539122738591,0.838406214654101,0.8683077035581205,0.9510615635838202,0.9257049490209127,0.8904539122738591,0.8787475618968684,0.9069624980666925,0.9011152818697136,0.9157466872094654,0.8868343111073786
SVM rbf,0.8925163467304391,0.9314328897895957,1.0,0.9258111569853784,0.636932271795166,0.9229520702658482,0.94320242394579,0.9531899399279365,0.9487015581095182,0.9477501491775818,0.8853967210342687,0.8925163467304391,0.936670428930587,0.9947255818245392,0.9477501491775818,0.9158465682785819,0.9217545258560443,0.9372561341221866,0.9841999078544514,0.9536507891657332
SVM poly,0.8409129488878595,0.8869620786549037,0.9258111569853784,1.0,0.6164095025821265,0.871200096759653,0.8912251955821762,0.9009100212420135,0.8969432352065674,0.8846807000557155,0.8328461412522083,0.8409129488878595,0.9139934491016986,0.9309151836712217,0.8846807000557155,0.8627440192576511,0.8798118987209105,0.8741159903844504,0.9207493751404032,0.8912251955821764
NB,0.6632327283414342,0.6324495571998596,0.636932271795166,0.6164095025821265,1.0,0.642706316934024,0.6322902129050657,0.6422486205043181,0.6476363949889492,0.6166818376936324,0.6474217269240529,0.6632327283414342,0.6271000971563817,0.6318006902099081,0.6166818376936324,0.6369701405899004,0.6626142648201125,0.6268797649854763,0.6420650134016996,0.6424437783677747
RF 10,0.8359856638827278,0.8563281408179553,0.9229520702658482,0.871200096759653,0.642706316934024,1.0,0.9794334923752565,0.969195189488743,0.9125019301373533,0.8812540028558529,0.881387937436371,0.8359856638827278,0.8719527903093642,0.9283046675873784,0.8812540028558529,0.8812154069206182,0.8657998576510907,0.8708991320739968,0.9384481762309753,0.9072647087265521
RF 9,0.856255774130134,0.8762193193531008,0.94320242394579,0.8912251955821762,0.6322902129050657,0.9794334923752565,1.0,0.9896856126772341,0.9329077831190864,0.901477894551883,0.891306059377791,0.856255774130134,0.8919048539895369,0.9485486607202287,0.901477894551883,0.8909786449281974,0.8860042627777152,0.8910943795361022,0.9587629875372985,0.9276315789473691
RF 8,0.8664201338412026,0.8856713420410902,0.9531899399279365,0.9009100212420135,0.6422486205043181,0.969195189488743,0.9896856126772341,1.0,0.9431753689212182,0.9114993633744172,0.9013758165753607,0.8664201338412026,0.9014398548921279,0.9585132377438678,0.9114993633744172,0.900892607126258,0.8960199004975121,0.9010859290820126,0.9688337623084246,0.9378449377274745
RF 7,0.9231070437828333,0.8821487679458478,0.9487015581095182,0.8969432352065674,0.6476363949889492,0.9125019301373533,0.9329077831190864,0.9431753689212182,1.0,0.9691079046150103,0.8759897303511113,0.9231070437828333,0.8977736372938322,0.9540764722940036,0.9691079046150103,0.9172807363259662,0.9535290456954466,0.9587388692621784,0.9642045963655458,0.9948513582557659
RF 6,0.9335244853701845,0.8904539122738591,0.9477501491775818,0.8846807000557155,0.6166818376936324,0.8812540028558529,0.901477894551883,0.9114993633744172,0.9691079046150103,1.0,0.8544776732239479,0.9335244853701845,0.9169060073379075,0.9530450023350676,1.0,0.926829315396409,0.9531531005440362,0.9895711184850677,0.9424987675283258,0.9741624996623494
XGB,0.8407246651875756,0.838406214654101,0.8853967210342687,0.8328461412522083,0.6474217269240529,0.881387937436371,0.891306059377791,0.9013758165753607,0.8759897303511113,0.8544776732239479,1.0,0.8407246651875756,0.8436030383697933,0.8906288891565812,0.8544776732239479,0.916776675322549,0.8494612592384304,0.8544776732239479,0.9010991101658743,0.8705998996034386
Grid Log,1.0,0.8683077035581205,0.8925163467304391,0.8409129488878595,0.6632327283414342,0.8359856638827278,0.856255774130134,0.8664201338412026,0.9231070437828333,0.9335244853701845,0.8407246651875756,1.0,0.8732759401763747,0.8978588603663283,0.9335244853701845,0.8923158750139809,0.9592297165151941,0.9438519582392492,0.8872159212195995,0.9179510591657114
Grid KNN,0.8732759401763747,0.9510615635838202,0.936670428930587,0.9139934491016986,0.6271000971563817,0.8719527903093642,0.8919048539895369,0.9014398548921279,0.8977736372938322,0.9169060073379075,0.8436030383697933,0.8732759401763747,1.0,0.9417155893828154,0.9169060073379075,0.8840111899282933,0.9120653655611515,0.9275472798222134,0.9316676255064963,0.9024998360563671
Grid SVM,0.8978588603663283,0.9257049490209127,0.9947255818245392,0.9309151836712217,0.6318006902099081,0.9283046675873784,0.9485486607202287,0.9585132377438678,0.9540764722940036,0.9530450023350676,0.8906288891565812,0.8978588603663283,0.9417155893828154,1.0,0.9530450023350676,0.921050320762742,0.9270264771180285,0.9425338463726386,0.9894958765912165,0.9590140922828388
Grid RF,0.9335244853701845,0.8904539122738591,0.9477501491775818,0.8846807000557155,0.6166818376936324,0.8812540028558529,0.901477894551883,0.9114993633744172,0.9691079046150103,1.0,0.8544776732239479,0.9335244853701845,0.9169060073379075,0.9530450023350676,1.0,0.926829315396409,0.9531531005440362,0.9895711184850677,0.9424987675283258,0.9741624996623494
Grid XGB,0.8923158750139809,0.8787475618968684,0.9158465682785819,0.8627440192576511,0.6369701405899004,0.8812154069206182,0.8909786449281974,0.900892607126258,0.9172807363259662,0.926829315396409,0.916776675322549,0.8923158750139809,0.8840111899282933,0.921050320762742,0.926829315396409,1.0,0.9113378836651123,0.926829315396409,0.9106851052603583,0.9118091764780604
Voting soft - part of grid,0.9592297165151941,0.9069624980666925,0.9217545258560443,0.8798118987209105,0.6626142648201125,0.8657998576510907,0.8860042627777152,0.8960199004975121,0.9535290456954466,0.9531531005440362,0.8494612592384304,0.9592297165151941,0.9120653655611515,0.9270264771180285,0.9531531005440362,0.9113378836651123,1.0,0.963566534836441,0.9165252486627362,0.9482130727174269
Voting hard - part of grid,0.9438519582392492,0.9011152818697136,0.9372561341221866,0.8741159903844504,0.6268797649854763,0.8708991320739968,0.8910943795361022,0.9010859290820126,0.9587388692621784,0.9895711184850677,0.8544776732239479,0.9438519582392492,0.9275472798222134,0.9425338463726386,0.9895711184850677,0.926829315396409,0.963566534836441,1.0,0.9320215459755669,0.9637789846465685
Ensemble RF - part of grid,0.8872159212195995,0.9157466872094654,0.9841999078544514,0.9207493751404032,0.6420650134016996,0.9384481762309753,0.9587629875372985,0.9688337623084246,0.9642045963655458,0.9424987675283258,0.9010991101658743,0.8872159212195995,0.9316676255064963,0.9894958765912165,0.9424987675283258,0.9106851052603583,0.9165252486627362,0.9320215459755669,1.0,0.9691946323077337
Ensemble Log - part of grid,0.9179510591657114,0.8868343111073786,0.9536507891657332,0.8912251955821764,0.6424437783677747,0.9072647087265521,0.9276315789473691,0.9378449377274745,0.9948513582557659,0.9741624996623494,0.8705998996034386,0.9179510591657114,0.9024998360563671,0.9590140922828388,0.9741624996623494,0.9118091764780604,0.9482130727174269,0.9637789846465685,0.9691946323077337,1.0
